questions,answers
Dans quels cas les services sont imposables à la TVA en Tunisie?,Les services sont imposables à  la TVA  s’ils sont exploités ou utilisés en Tunisie nonobstant le lieu  de leur  réalisation.
Les suppléments de prix pour paiement à terme font-t-ils partie de l’assiette de la TVA ?,"La TVA s’applique sur le prix principal et toutes les charges augmentatives du prix. A titre d’exemple , les intérêts pour paiement à terme ou pour retard de payement portés ou non sur la facture, arrêtés lors de la vente ou postérieurement font partie intégrante de l'assiette  taxable."
Les frais et taxes avancés par un huissier notaire au nom et pour le compte de son client font- ils partie de l’assiette de la TVA ?,"Le chiffre d’affaires du huissier notaire comprend le prix des prestations de services y compris tous les frais, droits et taxes ainsi que la valeur des objets remis en paiement à l’exclusion de :

la TVA,
	les droits d’enregistrement et de timbre fiscal,
	les frais de poste relatifs aux lettres recommandées que les huissiers notaires paient au lieu et place de leurs clients."
Les autres impôts indirects font-t-ils partie de l’assiette de la TVA ?,"L'assiette  de la TVA comprend tous les impôts et droits indirects incorporés dans la valeur  du produit vendu ou du service rendu : droits de douanes, droit de consommation, taxe professionnelle au profit du fonds de développement de  la compétitivité industrielle (FODEC) et la taxe au profit du Fonds de maîtrise de l’énergie."
Quel est le sort de la TVA relative à l’acquisition des vêtements de travail ?,Est déductible de la TVAdue sur le chiffre d’affaires la TVApayée au titre des vêtements de travail ou de protection utilisés par les employés pour les besoins  de  l’activité.
Les majorations de prix pour rapidité d'exécution font –elles partie de l’assiette de la TVA ?,"Lorsque les parties conviennent que le prix est majoré d'une prime au titre de la livraison du bien ou de l’ouvrage avant le délai contractuel, le complément du prix y afférent fait partie de  l'assiette taxable puisqu' il constitue un élément du prix global facturé, et ce que la prime soit mentionnée au contrat initial ou dans les avenants."
Régime fiscal applicable en matière de TVA aux travaux de chauffage central et sanitaires réalisés par un entrepreneur au profit d’une entreprise qui se charge d’importer ou d’acheter en son nom tout ou partie des fournitures prévues dans le contrat ?,"Conformément aux  dispositions de l’article 9 du code de la  TVA, lorsque deux entreprises sont liées par un contrat pour la réalisation d’un marché comportant fournitures d’équipements et réalisation  de  travaux et que le maître de l’ouvrage importe ou achète en son nom tout ou partie des fournitures prévues dans le contrat, la  TVA payée  par le maître de l’ouvrage ouvre droit à déduction au niveau de l’entreprise qui a réalisé l’ouvrage."
La retenue de garantie effectuée par le maître de l'ouvrage sur le coût du marché fait-t-elle partie de l’assiette de la TVA ?,"Le montant de la retenue de garantie inclu dans la facture ou le mémoire remis en contrepartie de la livraison de l'ouvrage ou des prestations fait partie de l'assiette taxable. 
Pour les opérations concernées par la retenue à la source en matière de TVA et dont le fait générateur coïncide avec l’encaissement, la retenue de garantie est soumise à la taxe sur la valeur ajoutée lors de l’encaissement."
Quelles sont les obligations des assujettis à la TVA relatives à la facturation?,Les assujettis à la TVA sont tenus :
"Quelle sont les procédures à suivre par une entreprise totalement exportatrice, pour obtenir l’exonération de la taxe unique des assurances au titre de ses contrats d’assurance ?",L’entreprise totalement exportatrice doit adresser une demande en l’objet directement au Bureau de Contrôle des Impôts de la circonscription dont elle relève.
Quelles sont les assurances obligatoires ?,"Les risques à couvrir obligatoirement sont :
• La responsabilité civile du fait de l’usage d'un véhicule terrestre à moteur et ses remorques;
• L’incendie pour les personnes exploitant une industrie, un commerce ou un établissement hôtelier.
• Le transport maritime, aérien et terrestre des marchandises à l’importation ;
• La responsabilité civile décennale des intervenants dans le domaine de la construction ;"
Est-il possible de s’assurer à l’étranger ?,"Non : En vertu de l’article 44 du code des assurances, l’assurance des résidents et des risques situés en Tunisie ne peut être souscrite qu’auprès d’une entreprise d’assurances Tunisienne et ce à l’exception de l’assurance de la responsabilité civile de l’armateur et du transporteur maritime."
"Est-il possible, pour un résident en Tunisie, de souscrire un contrat d’assurances en devises ?","Oui : En vertu de l’article 21 du code des changes et du commerce extérieur, une dérogation exceptionnelle pourrait être accordée, le cas écheant, par le Gouverneur de la Banque Centrale après avis du Ministre des Finances, pour souscrire un contrat d’assurance en devises par un assuré résident auprès d’une entreprise d’assurances résidente. La dérogation prend en consideration la nécéssité et l’opportunité de l’opérati"
Quelles sont les procédures à prendre en cas de refus d’assurance de la responsabilité d’un conducteur de véhicule terrestre à moteur ?,"Toute personne assujettie à cette obligation d'assurance, ayant sollicité la conclusion d’un nouveau contrat d’assurance ou la prorogation d’un contrat en vigueur ou sa modification ou la reprise d'effet d'un contrat d'assurance suspendu, se voit opposer un refus, peut saisir, par une lettre recommandée avec accusé de réception ou par tout autre moyen laissant une trace écrite, le Bureau Central de Tarification situé à 09 bis Rue new Delhi montplaisir Tunis1002."
"J’ai un projet dans le domaine du recyclage des déchets plastiques, puis-je avoir un quota mensuel ?","Non, il faut faire plus d’efforts pour la collecte.
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
"Je suis gêné par mon voisin (menuisier, mécanicien, tôlier, marbrerie…) qui dois-je contacter ?","Vous pouvez contacter les services de la police municipale de votre commune.
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
"On installe une antenne GSM sur le toit de mon voisin, qui dois-je envoyer une requête ?","Vous pouvez contacter soit la commune ou le Ministère des technologies de la communication ou encore Ministère de la santé publique.
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
"Les caves sont inondées, qui dois-je informer ?","Vous pouvez informer le syndic ou contacter les services privés spécialisés.
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
Je suis gêné par dépotoir qui dois-je contacter ?,"Vous devez contacter les services concernés de votre commune.
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
"J’ai constaté une pollution, un délit environnemental ou une atteinte à l’environnement, qui dois-je en informer?","Selon la nature du polluant ou de l’atteinte, vous pouvez contacter l’un des numéros verts suivants:80 100 193, Office National de l'Assainissement (ONAS)80 100 304, Agence Nationale de Protection de l'Environnement (ANPE)80 100 281, Agence Nationale de Gestion des Déchets (ANGed)80 100 313, Ministère de l'Environnement et du Développement Durable (MEDD)
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
Quels sont les documents exigés?,"Local à usage résidentielDemande de raccordement (formulaire à retirer auprès des services de l’ONAS).Copie de la dernière facture de consommation d’eau.Reçu de paiement des frais de réfection de la chaussée de la route (à obtenir auprès de la municipalité concernée).Permis de bâtir ou autorisation délivrée par la municipalité concernée, en cas de nécessité.Local à usage non résidentielSignature d’un cahier des charges.Constitution d’un dossier relatif au prétraitement, en cas de nécessité.Dossier sur les caractéristiques du réseau interne.
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
Quels sont les délais et les étapes pour bénéficier de ce service?,"Raccordement ordinaireEtude technique : Une semainePréparation du relevé de compte : Une semaineRéalisation des travaux : Deux semainesRaccordement nécessitant une extension du réseauEtude technique : Deux semainesPréparation du relevé de compte : Une semaineRéalisation des travaux : Un à trois mois
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
"Un organisme tiers, autre que l’ ONAS, peut-il procéder au raccordement de mon bien immeuble au réseau d’assainissement?","L’ ONAS peut confier la réalisation des travaux de raccordement à une entreprise agréée et sur la base d’un plan approuvé par l’Office, à condition:que cette procédure soit mentionnée dans la demande de raccordement ;que l’entreprise s’engage, par écrit, à réaliser les travaux, conformément aux spécifications techniques ;de payer les frais de contrôle des travaux, estimés à 10% du coût du raccordement, sans compter les frais d’extension du réseau et de réfection de la chaussée de la route ;de présenter un permis de bâtir.
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
Puis-je raccorder ma propre canalisation d’évacuation des eaux pluviales au réseau d’assainissement?,"Non. Les eaux pluviales ne peuvent être déversées dans le réseau public d’assainissement censé recueillir exclusivement les eaux usées.
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
"En cas de dysfonctionnement au niveau d’une conduite de raccordement ou d’une canalisation, qui est responsable de la réparation?","L’ONAS se charge de la réparation de ce genre de dysfonctionnement s’il s’avère que l’abonné n’y est pour rien
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
L’ONAS intervient-il à l’intérieur des domaines privés?,"Non. L’ONAS n’intervient pas à l’intérieur des domaines privés. Sa mission se limite à l’entretien et à la maintenance des réseaux publics.
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
Dois-je payer des frais pour le débouchage des canalisations d’assainissement?,"Ce service est gratuit pour les abonnés de l’ONAS dans les zones prises en charge par l’Office. Les travaux ne concernent que les ouvrages situés sur la voie publique
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
Quelles sont les modalités de paiement des frais de branchement?,"Les frais de branchement peuvent être payés auprès de l’un des districts de l’ONAS selon deux modalités : versement immédiat, par chèque bancaire ou mandat postal, ou paiement par tranche au moyen des factures de consommation de l’eau, sur une période maximum de 8 ans, majoré d’un taux d’intérêt.La participation aux frais d’installation des réseaux :sont exonérés de cette participation, les immeubles destinés exclusivement à l’habitation de l’usager ou à celle de sa famille. Dans le cas où le raccordement nécessite une extension, les 50 premiers mètres sont à la charge de l’ONAS, le reste sera facturé à l’usager et payé selon la modalité choisie.le reste des usagers supportent la part contributive et les frais éventuels d’extension du réseau.
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
"Le raccordement des biens immeubles à usage non résidentiel (usage commercial, industriel ou artisanal) est-il soumis à une autorisation préalable?","Le raccordement des biens immeubles à usage non résidentiel n’est pas soumis à une autorisation préalable mais à un régime de cahier des charges. Le propriétaire du local est tenu de signer le cahier des charges fixant les conditions et les procédés de déversement des eaux usées non ménagères, conformément aux dispositions de l’arrêté du ministre de l’environnement et de l’aménagement du territoire en date du 28 février 2002. La qualité des eaux usées devant être déversées doit être conforme aux normes tunisiennes. Aussi, le propriétaire est-il tenu, en cas de nécessité, de réaliser une unité de prétraitement. L’ONAS fixe, dans la fiche technique annexée au cahier des charges, la moyenne du débit qui ne doit pas être dépassé.
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
Où peut-on déposer la demande de raccordement ONAS?,"Auprès d’un district, ou d’un centre d’exploitation.
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
Quels sont les frais de branchement?,"Les frais de branchement au réseau d’assainissement sont fixés forfaitairement. 260 dinars pour les logements à usage d’habitation personnelle et de 130 dinars pour les logements sociaux. Ne sont pas inclus dans ce tarif forfaitaire, les frais de réfection de la chaussée et les redevances municipales.
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
Le raccordement au réseau public d’assainissement est-il obligatoire?,"Dans les zones aménagées relevant du domaine d’intervention de l’ONAS, le raccordement au réseau public d’assainissement est obligatoire, en vertu de la loi N°41/93, si le réseau existe et s’il n’y a aucun empêchement technique.
            Is this answer helpful?

            
                Yes
            
            /
            
                No"
Dans quels cas les services sont imposables à la TVA en Tunisie?,Les services sont imposables à la TVA s’ils sont exploités ou utilisés en Tunisie nonobstant le lieu de leur réalisation.
Est-il possible pour un tunisien ayant séjourné plus de 180 jours en Tunisie de bénéficier du régime de l’importation temporaire sur un véhicule?,Non car il est considéré comme résident en Tunisie.
Je suis étranger non résident et je désire passer des vacances en Tunisie avec mon véhicule. Est-ce possible ?,Vous pouvez importer temporairement votre véhicule pour les vacances sous réserve de justifier d’un séjour à l’étranger d’une année au moins et que la durée globale de vos séjours en Tunisie au cours de la dernière année précédant votre entrée en Tunisie ne dépasse pas 180 jours.La justification de votre séjour à l’étranger s’effectue en général sur la base de votre passeport.
"Quels sont les jours fériés donnant lieu à congé au profit des personnels de l'Etat, des collectivités publiques et des établissements publics?","Les jours fériés donnant lieu à congé au profit des personnels de l'Etat, des collectivités publiques et des établissements publics à caractère administratif sont:"
Quels sont les secteurs soumis à la TVA ?,La TVA s’applique :
Comment puis‐je m'inscrire au  Programme d’Amen Social pour  bénéficier de l’allocation mensuelle  permanente et d'une carte de soin  gratuite ou d'une carte de soin à tarif  réduit ?,"Le dossier de demande d'inscription  au programme d’Amen Social doit être  déposé auprès des unités territoriales  de des directions régionales de  Promotion sociale des affaires sociales  ayant répondu aux critères    conformément au décret  gouvernemental n° 317 de 2020 du 19  mai 2020 
 
Le dossier comporte les pièces  suivantes : 
Extrait de naissance de chaque  membre de la famille
Copie de la carte nationale d'identité  pour chaque membre de la famille âgé  de plus de 18 ans 
Certificat de présence scolaire pour les  enfants qui fréquentent régulièrement  un établissement de formation  professionnelle ou à un établissement  privé d'éducation spéciale, de  formation professionnelle pour les  personnes handicapées
Attestation d'inscription pour les  étudiants 
 Copie de la carte nationale d'identité  pour les enfants mariés vivant sous le  même toit ou loin de leur foyer  familial 
Une photographie du chef de famille  et du conjoint
Une copie des dernières factures de  consommation d'eau et d'électricité
 Une copie de la carte de traitement,  le cas échéant, ""avec différents types"".
 
Et les pièces justificatives de leurs  positions selon les cas suivants :
Maladie ou invalidité : un certificat  médical pour les personnes atteintes  de maladies chroniques ou graves 
Handicap : Une copie d'une carte  d'invalidité valide
Prise en charge de l'enfant par son  beau‐parent  
Saisie ou prise en charge des  mineurs ou aux enfants sans soutien  familial Jugement de soumission ou un  certificat de caution légale 
Divorce : Une copie du jugement de  pension ou d'un certificat de  publication d'un cas de délaissement  d’enfant 
 Le décès du chef de famille : une  copie d’Acte de décès ou un rapport  de sécurité
Absence du chef de famille : une  copie d’Acte de décès ou un rapport  de sécurité 
 Emprisonnement du chef de famille :  une copie d'une peine de prison ou  une carte de visite
 Location d'un logement : Copie du  contrat de bail"
"Puis‐je récupérer une carte de soins  gratuits, ou à un tarif réduit ou une  bourse permanente ?","-Dépôt des demandes d'objection  suite au rejet du dossier pour ne pas  avoir répondu aux termes exigés du  présent décret
   vous avez également le droit de  vous opposer aux décisions du comité  technique régional dans un délai  maximum de 15 jours à compter de la   date de notification de la décision,  directement auprès des autorités  locales ou régionales compétentes.
  
La décision du comité est définitive  en cas de rejet de la demande  d'opposition, sa décision est  impérativement justifiée. 
 
Remarque : Retrait du bénéfice des  avantages du régime d’Amen social  selon le chapitre 28 dudit décret,  lorsque la personne concernée a  connaissance de données contraires à  la réalité, de dissimulation de données  ou de non‐déclaration de tout  changement de statut ayant une  incidence sur la décision d'attribuer  des prestations"
Comment puis-je m'inscrire pour une bourse d'études ou une aide scolaire ?,"Inscription dans les unités locales, y compris la référence d’examen, en déposant un dossier composé des pièces requises suivantes :
Attestation de présence ou copie de bulletin pour les élèves du primaire et du secondaire, Relevé des notes pour les étudiants
Attestation de l'inscription universitaire pour les étudiants 
Copie de la carte de soins gratuite au tarif réduit
Copie de la carte nationale d'identité du tuteur et du conjoint de l'étudiant
Copie de la carte nationale d'identité de l'étudiant et une copie de la carte nationale d'identité du tuteur et du conjoint de l'étudiant
Attestation de non-affiliation à l'une des caisses sociales pour ceux qui n'ont pas de couverture maladie
Copie de l'examen professionnel et une copie de la carte de soins de la Caisse nationale d'assurance maladie pour les familles bénéficiant de la couverture sociale"
Comment puis –je bénéficier  d’assistance en nature et financière ?,Contactez les unités locales de Promotion Sociale ou les Directions Centrales Et Régionales relevant
"Quels sont les documents nécessaires  pour obtenir une carte d'invalidité, la  renouveler ou changer de catégorie ?","Dépôt d'un dossier « carte d'invalidité  » auprès de la cellule locale de  promotion sociale, renvoi pour  examen, et conformément au chapitre  11 de l'ordonnance n° 2005‐3086 du  29 novembre 2005 relative à la  création des commissions régionales  des personnes handicapées, le dossier  se comporte des pièces suivantes :
Demande écrite au nom du ministre  chargé des affaires sociales
Copie de la carte nationale d'identité  pour les majeurs ou les adolescents et  un extrait d'acte de naissance pour les  mineurs 
Deux photos 
Un formulaire de certificat médical  pour demander une carte d'invalidité  (à retirer à la cellule locale de  promotion sociale)
Copie de carte de soins
Certificat de résidence en cas de  changement d'adresse de résidence 
En cas de perte de la carte  d'invalidité, un certificat de perte sera  fourni 
Remarque : En cas de rejet de sa demande de « carte d'invalidité », la personne concernée peut présenter de nouvelles prises en charge dans un délai maximum de deux mois à compter de la date de sa notification de la décision de rejet. Le titulaire d'une carte d'invalidité peut également demander une révision de son dossier en cas de détérioration de de sa santé justifiée par une prise en charge médicale."
"Comment puis-je bénéficier des appareils et appareils prothétiques : fauteuils roulants, lunettes, écouteurs...?","Pour les bénéficiaires du programme d’Amen Social : Soins gratuits ou à tarif réduit
Dépôt de dossier à l'unité locale comportant les documents suivants :
Demande écrite au nom du ministre chargé des affaires sociales
Une copie de la carte nationale d'identité pour les majeurs ou adolescents
Une copie de la carte de soins
Une copie d'une carte d'invalidité (retirée de l'Unité Locale de Promotion Sociale)
Attestation de présence si la personne handicapée est un(e) élève.
Trois prix estimés pour la machine requise, sauf pour les fauteuils roulants (un prix suffit)
L’étude de dossier sera traitée par le Comité Régional des personnes Handicapées
Pour les assureurs social des systèmes publics et privés
Le dossier doit être déposé à la direction régionale de la Caisse nationale d'assurance maladie, le dossier doit inclure les documents suivants :
Certificat médical précisant le type de machine requis
Une copie de la carte nationale d'identité
Une copie de la carte de soins
Une copie de la carte d'invalidité pour les personnes handicapées
Un formulaire de demande de matériel médical à retirer sur la caisse directement ou sur le site de la caisse : brc@cnam.nat.tn
Le demandeur peut contacter le numéro de téléphone : 71 952 932 - 71 104 300 - 71 104 200
Ou munissez-vous du numéro : 80100295 ou accédez au site du fond brc@cnam.nat"
Comment puis‐je bénéficier d’aide  financière pour créer un projet ?,Contactez les autorités locales et la (Délégation Gouvernorat ) ou contactez la Banque tunisienne de Solidarité
"Comment puis‐je obtenir une  autorisation individuelle ou collective  d'assembleur, de café ou de taxi?",Déposer un dossier au profit de l'Etat comme référence d'inspection régionale auprès de la Direction des Affaires Economiques et de l'Investissement
Comment puis‐je obtenir un emploi ?,"Contacter le bureau d’Emploi pour 
consulter les offres d'emploi du 
secteur privé et participer aux 
concours nationaux ouverts à cet effet"
"Comment puis‐je régler ma situation  de sécurité : régler une dette,  demander une pension, demander le  pardon de payer des fractions... ?","Soumission de demande pour les  intérêts de la Caisse Nationale de  Sécurité Sociale ou de la Caisse  Nationale des Retraites et de la  Prévoyance Sociale
Pour plus de renseignements, vous  pouvez accéder au site de la Caisse  Nationale de Sécurité Sociale :  http://www.cnss.tn  
Ou par mail : cnss.dg@cnss.nat.tn 
Ou appelez les numéros : 71849833‐  71796744 
Et sur le site de La Caisse Nationale de  Retraite et de Prévoyance Sociale :  http://www.cnrps.nat.tn 
Ou par e‐mail : jawebni@cnrps.nat.tn
Ou appelez: 71341100"
"Comment puis‐je demander une pour  obtenir une pension, demander la  prise en charge des frais de  traitement, revoir le pourcentage de  prise en charge ou demander des  médicaments privés ?","Comment puis‐je demander une pour obtenir une pension, demander la prise en charge des frais de traitement, revoir le pourcentage de prise en charge ou demander des médicaments privés ?"
Quels sont les catégories sociales  bénéficiaires des interventions de  L'Union Tunisienne de Solidarité  Sociale ?,"Dans le cadre d’interventions du 
L’Union Tunisienne de Solidarité 
Sociale, les Familles à faible revenu et 
celles qui ne sont bénéficient pas 
d’indemnité permanente octroyée par 
Le Ministère des Affaires Sociales afin 
d’éviter tout dédoublement d'aides"
Comment puis-je créer un centre d’éducation spécialisé pour les enfants handicapés (secteur privé)?,La création de centres d'éducation spécialisée est soumise à un cahier des charges et ces centres sont contrôlés par le ministère des affaires sociales
Comment puis‐je bénéficier d'un prêt  universitaire de la Caisse nationale de  sécurité sociale ?,"Tout étudiant peut bénéficier d'un 
prêt universitaire à condition qu’il soit 
enfant d'assuré social, qu’il soit inscrit 
au 1er ou au 2ème cycle dans un 
établissement public d'enseignement 
supérieur de même qu’il ne soit 
bénéficié d'une bourse universitaire 
nationale ou d'une bourse dans le 
cadre de la coopération ou d'un prêt 
universitaire accordé par l'Etat. 
En outre, il ne doive pas exercer une 
activité professionnelle rémunérée dans ce cas il pourrait bénéficier d'un 
prêt universitaire de Caisse Nationale 
de Sécurité Sociale sans dépasser le 
revenu annuel du garant"
Quelles sont les démarches   d'hébergement et d’intégration pour  handicapés dans les centres  d’hébergement du Ministère d’affaires  sociales ?,"Centre de protection d’enfance : L’hébergement se fait soit sous l'autorisation du tribunal du juge aux affaires familiales ou Le délégué à la Protection de l'Enfance des mesures urgentes soient prises par le délégué à la Protection de l'Enfance dans les cas où l’enfance est menacée
Centre de protection sociale El Amen : l’hébergement se fait t à travers l'hôpital Al‐Razi, à condition que l’enfant soit sans soutien familial
L’hébergement au Centre d'Encadrement et d'Orientation Sociale : La prise en charge se fait soit par correspondance du Département de Promotion sociale, des autorités locales, ou du commissariat de police ou de la justice."
Comment adopter ou parrainer ?,"Le dossier d'adoption ou de parrainage est déposé à l'Institut national de la protection de l'enfance ou dans les unités territoriales territorialement compétentes et comprend les pièces suivantes :
Une demande signée par le  demandeur et son conjoint
Une copie du contrat de mariage, de  l'acte de mariage, de l'acte de décès  ou une copie du jugement de divorce  si nécessaire
Acte de naissance 
Bulletin N°3  
Certificat médical de santé physique  de la prise en charge d'un enfant dans  le cadre d'une adoption
Déclaration de revenu annuelle pour  travail indépendant
Une copie de la carte nationale  d'identité 
2 photos 
Pour plus de renseignements, vous  pouvez accéder au site Web de  l'Institut : http://www.inpe.tn 
Ou par mail  : mailinpe@topnet.tn
Ou appelez: 71606639"
Porter des plaintes sur la violence à la  lutte contre les Violences faites aux  Femmes ?,"Contactez les services spécialisés à la Lutte contre la violence à l’Egard des Femmes auprès du Ministère de la Famille, de la Femme, de l'Enfance et des Personnes âgées ou Appelez‐le Numéro Vert : 8010010"
"Comment puis‐je régler ma situation  professionnelle, comme la demande  d’attestation de travail ou les conflits  du travail... ?",Contactez le département de La Direction de l'inspection médicale et de la sécurité au travail le plus proche de votre lieu du travail
"Comment puis-je créer une source de revenu, Quelle sont les documents demandés ?","Contactez l'unité Locale la plus proche de votre domicile, conformément au décret N° 3086 de 2005, Le Comité régional des droits des personnes handicapées examine
le dossier de la personne handicapée qui veut créer une source de revenu de lors prend une décision selon les avantages et privilèges justifiant l’habilité, y compris, les besoins du handicap et de la situation économique et sociale  
Les documents requis :
Demande écrite au nom du ministre chargé des affaires sociales
Copie de la carte d'identité nationale de la personne concernée
Copie de la carte de soins
Copie de la carte d'invalidité
Certificat d’attestation de qualification professionnelle si disponible 
Attestation de cession d'un fonds commerce par propriété ou location
Certificat de Conformité des locaux
Trois devis estimatifs pour toutes les acquisitions liées à la réalisation de projet"
